Frequency [Hz],1/f [1/Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],XC_mean [Ohm],XC_std [Ohm]
200.0,0.005,0.6232439092657144,0.0,0.003974336665,6.254196845035032e-06,156.817283861085,0.2467748066257454
210.0,0.004761904761904762,0.6113606053241232,0.0,0.00410170015,3.0497232629868553e-06,149.05057706716423,0.11082307229194989
220.0,0.004545454545454545,0.600819847091692,0.0,0.0042068576400000005,1.2551852472838638e-06,142.819159869396,0.04261244801654728
250.0,0.004,0.5728642639309289,0.0,0.00449560257,1.4982546175306621e-05,127.42840062493391,0.4246820902606051
300.0,0.0033333333333333335,0.5215202565745324,0.0,0.004926605844999999,1.6862021857566736e-06,105.85792806026126,0.03623140865958271
400.0,0.0025,0.4426496156454266,0.0026867091750000256,0.005473714785,3.7115539969734943e-06,80.86808025361185,0.43600425346369476
450.0,0.0022222222222222222,0.40519508113642577,0.0,0.005673304665,5.762927337737654e-06,71.42138737680597,0.07254964965167633
500.0,0.002,0.37394631183750626,0.0,0.00582000683,1.6644727943705465e-06,64.25187084020308,0.0183754923533154
700.0,0.0014285714285714286,0.286986363038376,0.0018199980249999838,0.00618485245,6.433653475032874e-06,46.401667175597474,0.3425352972279218
1000.0,0.001,0.21050570127502521,0.0013000070999999993,0.00641942513,3.2265423846897575e-06,32.79204139122628,0.2189934430202279
2000.0,0.0005,0.10865402755518314,0.0007800012749999925,0.006589322585,2.877507406428257e-06,16.489383575233248,0.11117272560041563
5000.0,0.0002,0.044863165481552475,0.00034669787499999903,0.006640065925,2.3444125330215443e-07,6.7564346704822835,0.05245156688892356
