Frequency [Hz],repeat,Vrms [V],Irms [A],XL [Ohm]
200,1,0.02720946802081953,0.00677730842,4.01478969741494
200,2,0.027944859426806933,0.00677832216,4.122680918253512
200,3,0.02720946802081953,0.00677733403,4.014774526440086
200,4,0.027944859426806933,0.00678737555,4.117181850473403
200,5,0.027577165031960775,0.00678686332,4.063315221141182
200,6,0.02720946802081953,0.00679046521,4.00701088649264
200,7,0.02720946802081953,0.00679000095,4.007284862135333
200,8,0.02794486204310202,0.00677856803,4.122531767686931
200,9,0.02720946802081953,0.00677979644,4.013316367477772
200,10,0.027577165031960775,0.00678103324,4.066808708337902
500,1,0.06311621220080736,0.00675952807,9.337369642849543
500,2,0.06311621220080736,0.00676228059,9.333568958103136
500,3,0.06250343388849518,0.00676235231,9.242853821157269
500,4,0.06250343388849518,0.00676794769,9.235212320102193
500,5,0.06311621220080736,0.00676826388,9.325317883558547
500,6,0.06311621220080736,0.00676092133,9.335445440068057
500,7,0.06250343388849518,0.00675685471,9.250374112083753
500,8,0.06372899051311956,0.00676829414,9.415812787521608
500,9,0.06311621220080736,0.00675880909,9.338362921685567
500,10,0.06250343388849518,0.00676309364,9.241840674631733
1000,1,0.12244261139698875,0.00668800436,18.307794792913196
1000,2,0.1202364345980868,0.00668802066,17.977880259431913
1000,3,0.12133952297986011,0.00668524532,18.1503470959926
1000,4,0.1202364345980868,0.00670802593,17.92426503009758
1000,5,0.1202364345980868,0.00667589158,18.010543334510956
1000,6,0.12133952297986011,0.00668493239,18.15119673631585
1000,7,0.12133952297986011,0.00668900972,18.140132554607817
1000,8,0.12133952297986011,0.00669184094,18.13245772991432
1000,9,0.12133952297986011,0.00669305539,18.129167608735436
1000,10,0.12133952297986011,0.00668746186,18.144331215649
2000,1,0.2312752678252935,0.00642959448,35.970428390888735
2000,2,0.2291916962004708,0.00642562658,35.6683808725889
2000,3,0.2312752678252935,0.0064195008,36.02698637023201
2000,4,0.2312752678252935,0.00640947511,36.083339720667624
2000,5,0.2312752678252935,0.0064159194,36.047096823768314
2000,6,0.2312752678252935,0.00642206054,36.01262653704188
2000,7,0.2291916962004708,0.00641443813,35.73059581455045
2000,8,0.2312752678252935,0.00643445551,35.94325385665671
2000,9,0.2312752678252935,0.00642318418,36.00632666667414
2000,10,0.2312752678252935,0.00642692763,35.98535429988863
5000,1,0.45704552501631185,0.00521626696,87.6192741899682
5000,2,0.45704552501631185,0.00522627588,87.45147319247752
5000,3,0.45704552501631185,0.00523830857,87.25059223006251
5000,4,0.45704552501631185,0.00522834947,87.41678949328379
5000,5,0.45300090268897275,0.0052314247,86.59226284743671
5000,6,0.45704552501631185,0.00522400532,87.48948307279133
5000,7,0.45704552501631185,0.00522416038,87.48688626904519
5000,8,0.45704552501631185,0.0052263136,87.45084202683739
5000,9,0.45300090268897275,0.00523902941,86.4665699002008
5000,10,0.45704552501631185,0.00523217535,87.35286844243701
