stage,Frequency [Hz],Vrms_mean [V],Vrms_std [V],Irms_mean [A],Irms_std [A],Z_mean [Ohm],Z_std [Ohm]
coarse,700.0000000000001,0.7551900976029831,0.0,0.001130104519,9.607089241795975e-06,668.2916579231735,5.7048800232459165
coarse,755.722616845494,0.7551900976029831,0.0,0.0011322171420000001,8.534798997605511e-06,667.035097506646,5.008880515708479
coarse,815.880962302574,0.7551900976029831,0.0,0.0011365202840000002,9.407514001285494e-06,664.516686103487,5.5035722830484906
coarse,880.8281369510298,0.7551900976029831,0.0,0.0011359407689999997,8.44322430054938e-06,664.8476793023232,4.933248066145553
coarse,950.945349496819,0.7551900976029831,0.0,0.001133149093,6.050531591932989e-06,666.4696986146846,3.569411370840695
coarse,1026.644154283985,0.7551900976029831,0.0,0.00113069599,5.448112697578079e-06,667.9123931345349,3.215658250373974
coarse,1108.3688669208886,0.7551900976029831,0.0,0.00113677464,7.0062088462416806e-06,664.3496784293741,4.086758709273766
coarse,1196.5991721993269,0.7551900976029831,0.0,0.001138398098,7.728757591842436e-06,663.4071001781433,4.497468844756065
coarse,1291.8529396137528,0.7551900976029831,0.0,0.001133582508,8.44050798002746e-06,666.2308293949939,4.938891408917776
coarse,1394.6892630063571,0.7547658305679582,0.001341650166805064,0.001137916593,8.834038670732764e-06,663.3264710770229,5.685132507866211
coarse,1505.7117421792536,0.7598569422724155,0.0013416235128747497,0.001134625253,1.0472811122410751e-05,669.754627195243,6.830066114260321
coarse,1625.5720257352773,0.7594326836661034,0.0,0.001134909167,7.733654821228555e-06,669.1851677763489,4.554154841390513
coarse,1754.9736359421347,0.7594326836661034,0.0,0.001139617095,9.258118115771895e-06,666.4324951976466,5.422407850161547
coarse,1894.6760980700585,0.7594326836661034,0.0,0.0011348022149999999,7.293548642378363e-06,669.2450897258129,4.2849600502960365
coarse,2045.499398440163,0.7585841664534794,0.00178883135049962,0.001138432848,1.0658509392573326e-05,666.3898349722007,6.028448728087862
coarse,2208.3287973501215,0.7581599078471674,0.0020493637672936472,0.0011399061429999999,9.392581199446759e-06,665.1391601627039,4.503587978552602
coarse,2384.1200251267087,0.7581599078471674,0.0020493637672936472,0.001138822907,9.155594311396043e-06,665.784645166146,6.380413857393352
coarse,2573.9048918035724,0.7581599078471674,0.0020493637672936472,0.0011363090720000002,9.124162719253671e-06,667.254433041664,6.028830364418483
coarse,2778.797343350308,0.7581599078471674,0.0020493637672936472,0.0011415585990000002,8.286557384397987e-06,664.173269457661,4.735040984273342
coarse,3000.0000000000014,0.7573113906345432,0.0022360391881245246,0.0011386985999999998,7.410127907116178e-06,665.0955359901457,5.15116105960661
fine,1255.2203367057214,0.7551900976029831,0.0,0.00113545931,7.79001522957147e-06,665.1246573512558,4.548160234104018
fine,1269.9012763163146,0.7551900976029831,0.0,0.001141902012,5.808284332273082e-06,661.3594337387883,3.36122777077831
fine,1284.5822159269078,0.7543415635329334,0.001788866889073419,0.001140436577,8.419403227722166e-06,661.4821972878636,5.125380516142525
fine,1299.263155537501,0.7547658305679582,0.001341650166805064,0.001135535562,5.812498667849381e-06,664.6946433908311,3.7401384408340124
fine,1313.9440951480942,0.7547658305679582,0.001341650166805064,0.001139022935,6.311683576909383e-06,662.6609051371814,3.736161762590379
fine,1328.6250347586874,0.7543415635329334,0.001788866889073419,0.0011435237009999998,1.0442066795416638e-05,659.7215717309198,7.092249817476197
fine,1343.3059743692809,0.7539172964979085,0.0020494044818447784,0.001142041722,8.129075556307226e-06,660.1810524867703,5.356926626375524
fine,1357.986913979874,0.7543415635329334,0.0017888668890734187,0.001145910775,8.291576811233398e-06,658.3196946776677,4.8251220935865
fine,1372.6678535904673,0.7539172964979085,0.0020494044818447784,0.0011430369349999998,1.0138912679376814e-05,659.6145358529359,5.354203159247519
fine,1387.3487932010605,0.7547658305679582,0.0013416501668050641,0.0011414721150000001,8.891871318867279e-06,661.2590440750988,5.488553500280246
fine,1402.0297328116537,0.7534930294628837,0.0021909055479948964,0.0011439268240000001,6.235106402029318e-06,658.7068095814514,3.947140343776
fine,1416.710672422247,0.7547658305679582,0.001341650166805064,0.0011425672329999999,1.1852869342185125e-05,660.6447540122206,6.173456470456157
fine,1431.3916120328402,0.7594326836661034,0.0,0.0011463721980000002,9.15010051950224e-06,662.5039724218066,5.27660506725516
fine,1446.0725516434334,0.7594326836661034,0.0,0.00114026214,6.918767844007118e-06,666.0379928261289,4.050812497513965
fine,1460.7534912540266,0.7594326836661034,0.0,0.0011429193779999998,8.48308461858435e-06,664.5002741016398,4.919218162033348
fine,1475.43443086462,0.7585841664534794,0.00178883135049962,0.001144448726,3.2764008028634614e-06,662.8433328189122,2.572464833535991
fine,1490.1153704752132,0.7594326836661034,0.0,0.001146528007,8.051175745801268e-06,662.4054088644014,4.646725017078161
fine,1504.7963100858065,0.7594326836661034,0.0,0.0011447592519999998,8.276582935281651e-06,663.4306929258574,4.798115714947463
fine,1519.4772496963997,0.7594326836661034,0.0,0.001142702868,1.1572961772452207e-05,664.654571578184,6.721229334808318
fine,1534.1581893069929,0.7598569422724155,0.0013416235128747497,0.0011449791730000001,8.261429392195028e-06,663.6707268522323,4.464347525547735
